번호,사업장명,구,지번주소,좌표정보(X),좌표정보(Y)
1351,클라우드짐2,영등포구,서울특별시 영등포구 영등포동5가 49 1번지 영등포현대프라자 ,191518.75555489-- ,446809.632652641--
1352,큐어짐＆큐어필라테스,영등포구,서울특별시 영등포구 당산동4가 80번지 ,190941.054351896--,447628.862085473--
1353,더 킹 피트니스,영등포구,서울특별시 영등포구 양평동4가 81번지 ,190682.708085846--,448182.014130496--
1354,파워존,영등포구,서울특별시 영등포구 여의도동 53번지 ,193989.272586157--,446346.562230998--
1355,몸애 끌림,영등포구,서울특별시 영등포구 양평동4가 73 2번지 ,190686.327235295--,448303.307042194--
1356,팀닥터,영등포구,서울특별시 영등포구 영등포로 363 3층 (신길동 HY빌딩),192750.403282043--,445817.780017421--
1357,커브스 문래클럽,영등포구,서울특별시 영등포구 문래동6가 5번지 EEU동신타워 ,190121.308341551--,446385.28413493-- 
1358,바디신화,영등포구,서울특별시 영등포구 여의도동 44 35번지 ,193818.18014----,446332.089777304--
1359,백영웅육체미,영등포구,서울특별시 영등포구 양평동4가 64 3번지 ,190825.265468147--,448209.83608779-- 
1360,영헬스,영등포구,서울특별시 영등포구 영등포동4가 8 3번지 ,-,-
1361,덕유헬스크럽,영등포구,서울특별시 영등포구 신길동 289 6번지 ,191570.82772481-- ,445114.348934823--
1362,위너헬스크럽,영등포구,서울특별시 영등포구 여의도동 36 2번지 ,193469.554731741--,446508.068667777--
1363,한양헬스타운,영등포구,서울특별시 영등포구 대림동 667 10번지 ,191029.745678546--,444442.519374824--
1364,훈헬스클럽,영등포구,서울특별시 영등포구 신길동 156 3번지 ,192503.318998862--,445486.636466288--
1365,영등포헬스,영등포구,서울특별시 영등포구 영등포동4가 155 1번지 ,191263.950943632--,446392.305909332--
1366,핏타운,영등포구,서울특별시 영등포구 양평동1가 190번지 ,190028.918503393--,446747.380308356--
1367,진풍헬스,영등포구,서울특별시 영등포구 신길동 294 8번지 ,191328.722400979--,444989.262357506--
1368,고투(GOTO) 문래,영등포구,서울특별시 영등포구 문래동3가 82 29번지 ,190217.705071932--,446449.917568696--
1369,이도공감,영등포구,서울특별시 영등포구 당산동6가 298번지 ,191343.62902164-- ,448044.522085984--
1370,(주)세계청소년엔지오교육문화원,영등포구,서울특별시 영등포구 당산동3가 2 4번지 ,-,-
1371,에코사이클링 영등포센터,영등포구,서울특별시 영등포구 영등포동7가 47 3번지 ,191518.75555489-- ,446809.632652641--
1372,(주)스퀘어짐 당산점,영등포구,서울특별시 영등포구 당산동5가 8번지 ,191093.875514958--,447795.02180134-- 
1373,바디시크릿,영등포구,서울특별시 영등포구 신길동 1300번지 정오빌딩 ,193281.875201994--,445570.814215436--
1374,쿼터짐,영등포구,서울특별시 영등포구 신길동 4217번지 ,192804.84556912-- ,444030.884224305--
1375,코리아 스트렝스(Korea Strength),영등포구,서울특별시 영등포구 당산동3가 398 5번지 ,190629.674071717--,447049.089671284--
1376,바디클래스,영등포구,서울특별시 영등포구 영등포동8가 80 2번지 201호,191627.906295078--,447383.993552113--
1377,크로스핏혼,영등포구,서울특별시 영등포구 여의도동 43 2번지 호정빌딩 지하2층 ,193819.575088866--,446543.53387045-- 
1378,뉴그린(P.T스튜디오)?,영등포구,서울특별시 영등포구 여의도동 53 3번지 은하빌딩 지하1층 ,194056.681860495--,446279.083804498--
1379,CrossFit Movement,영등포구,서울특별시 영등포구 영등포동8가 42 1번지 ,191444.655224818--,447251.740221124--
1380,크로스핏 킹콩,영등포구,서울특별시 영등포구 문래동3가 55 4번지 ,190866.605827116--,446211.615914248--
1381,헬스네비 휘트니스,영등포구,서울특별시 영등포구 여의도동 53번지 우정빌딩 301호 ,193989.272586157--,446346.562230998--
1382,프라나(Prana)헬스클럽,영등포구,서울특별시 영등포구 도림동 151 2번지 2층 ,191237.984490036--,444989.436735345--
1383,무브짐,영등포구,서울특별시 영등포구 국제금융로 지하 86 118호 (여의도동 롯데캐슬 아이비),193896.282065175--,446442.571421294--
1384,트레이닝 스튜디오 비칼,영등포구,서울특별시 영등포구 여의도동 36 2번지 ,193469.554731741--,446508.068667777--
1385,우리동네 GYM,영등포구,서울특별시 영등포구 신길동 501번지 ,192853.871582086--,444167.863370371--
1386,인도어사이클링,영등포구,서울특별시 영등포구 영등포동8가 35 1번지 KT영등포지사 1층 ,191536.037141169--,447172.053366478--
